date,Prod. Executed,Prod. Programmed
1/01/2015 00:30,4557.59715,4437.90959
1/01/2015 01:00,4483.13816,4287.75745
1/01/2015 01:30,4319.24372,4213.42973
1/01/2015 02:00,4226.42943,4093.82949
1/01/2015 02:30,4179.29111,4012.68241
1/01/2015 03:00,4100.5845,3935.08148
1/01/2015 03:30,4030.45216,3814.7834
1/01/2015 04:00,3977.89778,3789.8823
1/01/2015 04:30,3924.1135,3759.25061
1/01/2015 05:00,3908.02867,3736.57323
1/01/2015 05:30,3845.08396,3655.72482
1/01/2015 06:00,3622.83102,3557.58137
1/01/2015 06:30,3576.99629,3402.93093
1/01/2015 07:00,3463.37705,3416.13983
1/01/2015 07:30,3484.77188,3441.47775
1/01/2015 08:00,3542.42908,3424.8229
1/01/2015 08:30,3665.7022,3515.35424
1/01/2015 09:00,3752.05351,3592.42135
1/01/2015 09:30,3769.16142,3676.33536
1/01/2015 10:00,3860.0504,3752.43493
1/01/2015 10:30,3879.87667,3829.23452
1/01/2015 11:00,3888.61762,3924.49098
1/01/2015 11:30,4000.25141,3959.34824
1/01/2015 12:00,4043.72286,3948.24875
1/01/2015 12:30,4060.34081,3916.91974
1/01/2015 13:00,4031.67126,3916.67399
1/01/2015 13:30,4028.76263,3905.50315
1/01/2015 14:00,4024.22948,3904.20789
1/01/2015 14:30,4033.15834,3885.96225
1/01/2015 15:00,3950.06694,3902.37771
1/01/2015 15:30,3890.2513,3887.30081
1/01/2015 16:00,3883.31091,3902.84727
1/01/2015 16:30,3881.37777,3905.81567
1/01/2015 17:00,3856.40904,3905.50169
1/01/2015 17:30,3936.97242,3922.44521
1/01/2015 18:00,3977.81381,4003.69823
1/01/2015 18:30,4206.34423,4287.03
1/01/2015 19:00,4646.64238,4657.25378
1/01/2015 19:30,4763.53975,4768.98331
1/01/2015 20:00,4751.02953,4812.11492
1/01/2015 20:30,4808.01157,4802.24786
1/01/2015 21:00,4766.23696,4748.67177
1/01/2015 21:30,4730.48575,4641.00101
1/01/2015 22:00,4630.33458,4565.60588
1/01/2015 22:30,4534.91344,4408.44323
1/01/2015 23:00,4396.95613,4291.8329
1/01/2015 23:30,4227.41477,4209.44035
2/01/2015 00:00,4146.13782,4079.90257
2/01/2015 00:30,3973.99346,4031.78845
2/01/2015 01:00,3944.38486,3925.62122
2/01/2015 01:30,3856.10699,3830.91977
2/01/2015 02:00,3733.48389,3761.84101
2/01/2015 02:30,3696.46345,3705.24536
2/01/2015 03:00,3680.89536,3646.56329
2/01/2015 03:30,3637.72428,3698.09024
2/01/2015 04:00,3687.92775,3696.65432
2/01/2015 04:30,3670.86833,3705.14946
